Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL,Memory Size,Memory Type,CAS Latency,Speed
RAM,F4-2400C14Q2-128GRK,G.SKILL,Ripjaws 4,1,121,53,https://ram.userbenchmark.com/GSKILL-Ripjaws-4-DDR4-2400-C14-8x16GB/Rating/3567,8x16GB,DDR4,C14,2400
RAM,F4-3200C14Q-64GTZ,G.SKILL,Trident Z,2,115,1156,https://ram.userbenchmark.com/GSKILL-Trident-Z-DDR4-3200-C14-4x16GB/Rating/3612,4x16GB,DDR4,C14,3200
RAM,BLS4K8G4D240FSA,Crucial,Ballistix Sport,3,110,124,https://ram.userbenchmark.com/SpeedTest/93395/Crucial-BLS4G4D240FSAM8FAD-8x4GB,8x4GB,DDR4,C16,2400
RAM,F4-3200C14Q-32GFX,G.SKILL,Flare X,4,109,7619,https://ram.userbenchmark.com/SpeedTest/270794/GSKILL-F4-3200C14-8GFX-4x8GB,4x8GB,DDR4,C14,3200
RAM,BLE4K8G4D36BEEAK,Crucial,Ballistix Elite,5,108,1370,https://ram.userbenchmark.com/SpeedTest/811381/Crucial-BLE8G4D36BEEAKM8FE1-4x8GB,4x8GB,DDR4,C16,3600
RAM,F4-3200C15Q-64GTZ,G.SKILL,Trident Z,6,104,204,https://ram.userbenchmark.com/GSKILL-Trident-Z-DDR4-3200-C15-4x16GB/Rating/3613,4x16GB,DDR4,C15,3200
RAM,CMD64GX4M4B3000C15,Corsair,Dominator,7,99.3,129,https://ram.userbenchmark.com/Corsair-Dominator-DDR4-3000-C15-4x16GB/Rating/3565,4x16GB,DDR4,C15,3000
RAM,F4-3200C14D-16GFX,G.SKILL,Flare X,8,98.3,47897,https://ram.userbenchmark.com/SpeedTest/255366/GSKILL-F4-3200C14-8GFX-2x8GB,2x8GB,DDR4,C14,3200
RAM,F4-3600C16D-16GTZ,G.SKILL,Trident Z,9,98,3869,https://ram.userbenchmark.com/GSKILL-Trident-Z-DDR4-3600-C16-2x8GB/Rating/3562,2x8GB,DDR4,C16,3600
RAM,BLS4K4G4D240FSA,Crucial,Ballistix Sport,10,97.5,1888,https://ram.userbenchmark.com/Crucial-Ballistix-Sport-DDR4-2400-C16-4x4GB/Rating/3561,4x4GB,DDR4,C16,2400
RAM,CMK32GX4M2Z3600C18,Corsair,Vengeance LPX,11,97.2,10448,https://ram.userbenchmark.com/SpeedTest/998434/Corsair-Vengeance-LPX-CMK32GX4M2Z3600C18-2x16GB,2x16GB,DDR4,C18,3600
RAM,F4-3600C17D-16GTZ,G.SKILL,Trident Z,12,96.2,1665,https://ram.userbenchmark.com/GSKILL-Trident-Z-DDR4-3600-C17-2x8GB/Rating/3563,2x8GB,DDR4,C17,3600
RAM,CMK32GX4M4A2666C15,Corsair,Vengeance LPX,13,95.8,761,https://ram.userbenchmark.com/SpeedTest/89347/Corsair-Vengeance-LPX-CMK32GX4M4A2666C15-4x8GB,4x8GB,DDR4,C15,2666
RAM,F4-3200C16Q-64GVK,G.SKILL,Ripjaws V,14,95,13126,https://ram.userbenchmark.com/GSKILL-Ripjaws-V-DDR4-3200-C16-4x16GB/Rating/3564,4x16GB,DDR4,C16,3200
RAM,BLE2K8G4D36BEEAK,Crucial,Ballistix Elite,15,94.9,2932,https://ram.userbenchmark.com/SpeedTest/786050/Crucial-BLE8G4D36BEEAKM8FE1-2x8GB,2x8GB,DDR4,C16,3600
RAM,F4-3000C15Q-16GRR,G.SKILL,Ripjaws 4,16,92.4,3385,https://ram.userbenchmark.com/GSKILL-Ripjaws-4-DDR4-3000-C15-4x4GB/Rating/3540,4x4GB,DDR4,C15,3000
RAM,F4-3000C15Q-16GRB,G.SKILL,Ripjaws 4,16,92.4,3385,https://ram.userbenchmark.com/GSKILL-Ripjaws-4-DDR4-3000-C15-4x4GB/Rating/3540,4x4GB,DDR4,C15,3000
RAM,F4-3000C15Q-16GRK,G.SKILL,Ripjaws 4,16,92.4,3385,https://ram.userbenchmark.com/GSKILL-Ripjaws-4-DDR4-3000-C15-4x4GB/Rating/3540,4x4GB,DDR4,C15,3000
RAM,HX426C15FBK4/32,HyperX,Fury,17,92.1,6969,https://ram.userbenchmark.com/HyperX-Fury-DDR4-2666-C15-4x8GB/Rating/3570,4x8GB,DDR4,C15,2666
RAM,CMR16GX4M2C3466C16,Corsair,Vengeance RGB,18,92,5173,https://ram.userbenchmark.com/SpeedTest/287318/Corsair-CMR16GX4M2C3466C16-2x8GB,2x8GB,DDR4,C16,3466
RAM,F4-2800C16Q-16GRR,G.SKILL,Ripjaws 4,19,91.9,1480,https://ram.userbenchmark.com/GSKILL-Ripjaws-4-DDR4-2800-C16-4x4GB/Rating/3608,4x4GB,DDR4,C16,2800
RAM,F4-2800C16Q-16GRB,G.SKILL,Ripjaws 4,19,91.9,1480,https://ram.userbenchmark.com/GSKILL-Ripjaws-4-DDR4-2800-C16-4x4GB/Rating/3608,4x4GB,DDR4,C16,2800
RAM,F4-2800C16Q-16GRK,G.SKILL,Ripjaws 4,19,91.9,1480,https://ram.userbenchmark.com/GSKILL-Ripjaws-4-DDR4-2800-C16-4x4GB/Rating/3608,4x4GB,DDR4,C16,2800
RAM,F4-3600C17D-8GTZ,G.SKILL,Trident Z,20,91.4,153,https://ram.userbenchmark.com/GSKILL-Trident-Z-DDR4-3600-C17-2x4GB/Rating/3566,2x4GB,DDR4,C17,3600
RAM,CMK16GX4M4B3000C15,Corsair,Vengeance LPX,21,91,6685,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-3000-C15-4x4GB/Rating/3558,4x4GB,DDR4,C15,3000
RAM,CMK16GX4M4B3000C15B,Corsair,Vengeance LPX,21,91,6685,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-3000-C15-4x4GB/Rating/3558,4x4GB,DDR4,C15,3000
RAM,CMK16GX4M4B3000C15R,Corsair,Vengeance LPX,21,91,6685,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-3000-C15-4x4GB/Rating/3558,4x4GB,DDR4,C15,3000
RAM,CMK16GX4M2D3600C18,Corsair,Vengeance LPX,22,90.7,80118,https://ram.userbenchmark.com/SpeedTest/808862/Corsair-Vengeance-LPX-CMK16GX4M2D3600C18-2x8GB,2x8GB,DDR4,C18,3600
RAM,CMK32GX4M2B3200C16,Corsair,Vengeance LPX,23,89.2,114335,https://ram.userbenchmark.com/SpeedTest/97244/Corsair-Vengeance-LPX-CMK32GX4M2B3200C16-2x16GB,2x16GB,DDR4,C16,3200
RAM,CMR16GX4M2C3600C18,Corsair,Vengeance RGB,24,89.2,5391,https://ram.userbenchmark.com/SpeedTest/315553/Corsair-CMR16GX4M2C3600C18-2x8GB,2x8GB,DDR4,C18,3600
RAM,CMK16GX4M4A2800C16,Corsair,Vengeance LPX,25,88.6,3861,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-2800-C16-4x4GB/Rating/3541,4x4GB,DDR4,C16,2800
RAM,CMK16GX4M4A2800C16B,Corsair,Vengeance LPX,25,88.6,3861,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-2800-C16-4x4GB/Rating/3541,4x4GB,DDR4,C16,2800
RAM,CMK16GX4M4A2800C16R,Corsair,Vengeance LPX,25,88.6,3861,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-2800-C16-4x4GB/Rating/3541,4x4GB,DDR4,C16,2800
RAM,CMW32GX4M2C3200C16,Corsair,Vengeance RGB PRO,26,87.5,137391,https://ram.userbenchmark.com/SpeedTest/587593/Corsair-CMW32GX4M2C3200C16-2x16GB,2x16GB,DDR4,C16,3200
RAM,CMK16GX4M4A2666C16,Corsair,Vengeance LPX,27,87,6401,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-2666-C16-4x4GB/Rating/3557,4x4GB,DDR4,C16,2666
RAM,CMK16GX4M4A2666C16B,Corsair,Vengeance LPX,27,87,6401,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-2666-C16-4x4GB/Rating/3557,4x4GB,DDR4,C16,2666
RAM,CMK16GX4M4A2666C16R,Corsair,Vengeance LPX,27,87,6401,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-2666-C16-4x4GB/Rating/3557,4x4GB,DDR4,C16,2666
RAM,CMR32GX4M2C3000C15,Corsair,Vengeance RGB,28,86.8,1030,https://ram.userbenchmark.com/SpeedTest/335632/Corsair-CMR32GX4M2C3000C15-2x16GB,2x16GB,DDR4,C15,3000
RAM,CMK32GX4M4A2400C14,Corsair,Vengeance LPX,29,86.8,4512,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-2400-C14-4x8GB/Rating/3542,4x8GB,DDR4,C14,2400
RAM,CMK32GX4M4A2400C14B,Corsair,Vengeance LPX,29,86.8,4512,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-2400-C14-4x8GB/Rating/3542,4x8GB,DDR4,C14,2400
RAM,CMK32GX4M4A2400C14R,Corsair,Vengeance LPX,29,86.8,4512,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-2400-C14-4x8GB/Rating/3542,4x8GB,DDR4,C14,2400
RAM,CMR16GX4M2C3200C16,Corsair,Vengeance RGB,30,86.7,16099,https://ram.userbenchmark.com/SpeedTest/298180/Corsair-CMR16GX4M2C3200C16-2x8GB,2x8GB,DDR4,C16,3200
RAM,HX426C15FBK2/16,HyperX,Fury,31,85.3,39021,https://ram.userbenchmark.com/HyperX-Fury-DDR4-2666-C15-2x8GB/Rating/3553,2x8GB,DDR4,C15,2666
RAM,CMK32GX4M4A2400C16,Corsair,Vengeance LPX,32,85.3,1455,https://ram.userbenchmark.com/SpeedTest/108268/Corsair-Vengeance-LPX-CMK32GX4M4A2400C16-4x8GB,4x8GB,DDR4,C16,2400
RAM,F4-3000C15D-16GTZB,G.SKILL,Trident Z,33,85.1,6402,https://ram.userbenchmark.com/GSKILL-Trident-Z-DDR4-3000-C15-2x8GB/Rating/3548,2x8GB,DDR4,C15,3000
RAM,CMK32GX4M2B3000C15,Corsair,Vengeance LPX,34,85,34292,https://ram.userbenchmark.com/SpeedTest/92054/Corsair-Vengeance-LPX-CMK32GX4M2B3000C15-2x16GB,2x16GB,DDR4,C15,3000
RAM,F4-3200C16D-16GTZB,G.SKILL,Trident Z,35,84.8,32889,https://ram.userbenchmark.com/GSKILL-Trident-Z-DDR4-3200-C16-2x8GB/Rating/3550,2x8GB,DDR4,C16,3200
RAM,CMU16GX4M2C3200C16,Corsair,Vengeance LED,36,84.7,37980,https://ram.userbenchmark.com/SpeedTest/155727/Corsair-CMU16GX4M2C3200C16-2x8GB,2x8GB,DDR4,C16,3200
RAM,CMU16GX4M2C3200C16B,Corsair,Vengeance LED,36,84.7,37980,https://ram.userbenchmark.com/SpeedTest/155727/Corsair-CMU16GX4M2C3200C16-2x8GB,2x8GB,DDR4,C16,3200
RAM,CMU16GX4M2C3200C16R,Corsair,Vengeance LED,36,84.7,37980,https://ram.userbenchmark.com/SpeedTest/155727/Corsair-CMU16GX4M2C3200C16-2x8GB,2x8GB,DDR4,C16,3200
RAM,CMK32GX4M4A2666C16,Corsair,Vengeance LPX,37,84.6,8676,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-2666-C16-4x8GB/Rating/3586,4x8GB,DDR4,C16,2666
RAM,CMK32GX4M4A2666C16B,Corsair,Vengeance LPX,37,84.6,8676,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-2666-C16-4x8GB/Rating/3586,4x8GB,DDR4,C16,2666
RAM,CMK32GX4M4A2666C16R,Corsair,Vengeance LPX,37,84.6,8676,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-2666-C16-4x8GB/Rating/3586,4x8GB,DDR4,C16,2666
RAM,CMK16GX4M2B3200C16,Corsair,Vengeance LPX,38,84.6,527596,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-3200-C16-2x8GB/Rating/3547,2x8GB,DDR4,C16,3200
RAM,CMK16GX4M2B3200C16R,Corsair,Vengeance LPX,38,84.6,527596,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-3200-C16-2x8GB/Rating/3547,2x8GB,DDR4,C16,3200
RAM,F4-3200C16D-16GVKB,G.SKILL,Ripjaws V,39,84.3,278296,https://ram.userbenchmark.com/SpeedTest/89324/GSKILL-F4-3200C16-8GVKB-2x8GB,2x8GB,DDR4,C16,3200
RAM,F4-3200C16D-16GTZR,G.SKILL,Trident Z RGB,40,83.8,244452,https://ram.userbenchmark.com/SpeedTest/231020/GSKILL-F4-3200C16-8GTZR-2x8GB,2x8GB,DDR4,C16,3200
RAM,CMK16GX4M4A2400C14,Corsair,Vengeance LPX,41,83.6,3864,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-2400-C14-4x4GB/Rating/3533,4x4GB,DDR4,C14,2400
RAM,CMK16GX4M4A2400C14B,Corsair,Vengeance LPX,41,83.6,3864,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-2400-C14-4x4GB/Rating/3533,4x4GB,DDR4,C14,2400
RAM,CMK16GX4M4A2400C14R,Corsair,Vengeance LPX,41,83.6,3864,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-2400-C14-4x4GB/Rating/3533,4x4GB,DDR4,C14,2400
RAM,HX426C15FBK2/8,HyperX,Fury,42,83.5,28691,https://ram.userbenchmark.com/HyperX-Fury-DDR4-2666-C15-2x4GB/Rating/3556,2x4GB,DDR4,C15,2666
RAM,HX426C13PB3K2/16,HyperX,Predator,43,83,7026,https://ram.userbenchmark.com/SpeedTest/318273/Kingston-KHX2666C138GX-2x8GB,2x8GB,"",C13,2666
RAM,CMU16GX4M2C3000C15,Corsair,Vengeance LED,44,82.8,34262,https://ram.userbenchmark.com/SpeedTest/156965/Corsair-CMU16GX4M2C3000C15-2x8GB,2x8GB,DDR4,C15,3000
RAM,CMU16GX4M2C3000C15B,Corsair,Vengeance LED,44,82.8,34262,https://ram.userbenchmark.com/SpeedTest/156965/Corsair-CMU16GX4M2C3000C15-2x8GB,2x8GB,DDR4,C15,3000
RAM,CMU16GX4M2C3000C15R,Corsair,Vengeance LED,44,82.8,34262,https://ram.userbenchmark.com/SpeedTest/156965/Corsair-CMU16GX4M2C3000C15-2x8GB,2x8GB,DDR4,C15,3000
RAM,HX424C15FBK4/16,HyperX,Fury,45,82.7,11283,https://ram.userbenchmark.com/HyperX-Fury-DDR4-2400-C15-4x4GB/Rating/3585,4x4GB,DDR4,C15,2400
RAM,CMD16GX4M2B3000C15,Corsair,Dominator,46,82.5,13692,https://ram.userbenchmark.com/Corsair-Dominator-DDR4-3000-C15-2x8GB/Rating/3597,2x8GB,DDR4,C15,3000
RAM,CMW16GX4M2C3000C15,Corsair,Vengeance RGB PRO,47,82.3,93839,https://ram.userbenchmark.com/SpeedTest/523893/Corsair-CMW16GX4M2C3000C15-2x8GB,2x8GB,DDR4,C15,3200
RAM,CMK16GX4M2B3000C15,Corsair,Vengeance LPX,48,82.3,576174,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-3000-C15-2x8GB/Rating/3546,2x8GB,DDR4,C15,3000
RAM,CMK16GX4M2B3000C15B,Corsair,Vengeance LPX,48,82.3,576174,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-3000-C15-2x8GB/Rating/3546,2x8GB,DDR4,C15,3000
RAM,CMK16GX4M2B3000C15R,Corsair,Vengeance LPX,48,82.3,576174,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-3000-C15-2x8GB/Rating/3546,2x8GB,DDR4,C15,3000
RAM,CMK16GX4M2B3000C15W,Corsair,Vengeance LPX,48,82.3,576174,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-3000-C15-2x8GB/Rating/3546,2x8GB,DDR4,C15,3000
RAM,CMR16GX4M2D3000C16,Corsair,Vengeance RGB,49,82.2,7576,https://ram.userbenchmark.com/SpeedTest/465040/Corsair-CMR16GX4M2D3000C16-2x8GB,2x8GB,DDR4,C16,3000
RAM,CMZ64GX3M8A1600C9,Corsair,Vengeance,50,82.1,95,https://ram.userbenchmark.com/SpeedTest/100478/Corsair-Vengeance-CMZ64GX3M8A1600C9-8x8GB,8x8GB,DDR3,C9,1600
RAM,CMR16GX4M2C3000C15,Corsair,Vengeance RGB,51,81.9,36785,https://ram.userbenchmark.com/SpeedTest/258851/Corsair-CMR16GX4M2C3000C15-2x8GB,2x8GB,DDR4,C15,3000
RAM,F4-3000C16D-16GTZR,G.SKILL,Trident Z RGB,52,81.8,87594,https://ram.userbenchmark.com/SpeedTest/236585/GSKILL-F4-3000C16-8GTZR-2x8GB,2x8GB,DDR4,C16,3000
RAM,HX421C14FBK4/32,HyperX,Fury,53,81.1,5894,https://ram.userbenchmark.com/HyperX-Fury-DDR4-2133-C14-4x8GB/Rating/3569,4x8GB,DDR4,C14,2133
RAM,CMK8GX4M2B3000C15,Corsair,Vengeance LPX,54,80.8,28260,https://ram.userbenchmark.com/SpeedTest/90523/Corsair-Vengeance-LPX-CMK8GX4M2B3000C15-2x4GB,2x4GB,DDR4,C15,3000
RAM,CMK16GX4M4A2400C16,Corsair,Vengeance LPX,55,80.8,481,https://ram.userbenchmark.com/SpeedTest/89553/Corsair-Vengeance-LPX-CMK16GX4M4A2400C16-4x4GB,4x4GB,DDR4,C16,2400
RAM,CMK16GX4M2C3000C16,Corsair,Vengeance LPX,56,79.9,5906,https://ram.userbenchmark.com/SpeedTest/337520/Corsair-Vengeance-LPX-CMK16GX4M2C3000C16-2x8GB,2x8GB,DDR4,C16,3000
RAM,CMK16GX4M2C3000C16B,Corsair,Vengeance LPX,56,79.9,5906,https://ram.userbenchmark.com/SpeedTest/337520/Corsair-Vengeance-LPX-CMK16GX4M2C3000C16-2x8GB,2x8GB,DDR4,C16,3000
RAM,CMK16GX4M2C3000C16R,Corsair,Vengeance LPX,56,79.9,5906,https://ram.userbenchmark.com/SpeedTest/337520/Corsair-Vengeance-LPX-CMK16GX4M2C3000C16-2x8GB,2x8GB,DDR4,C16,3000
RAM,CMK16GX4M2C3000C16W,Corsair,Vengeance LPX,56,79.9,5906,https://ram.userbenchmark.com/SpeedTest/337520/Corsair-Vengeance-LPX-CMK16GX4M2C3000C16-2x8GB,2x8GB,DDR4,C16,3000
RAM,BLS4K8G4D240FSB,Crucial,Ballistix Sport LT,57,79.6,621,https://ram.userbenchmark.com/Crucial-Ballistix-Sport-LT-DDR4-2400-C16-4x8GB/Rating/3637,4x8GB,DDR4,C16,2400
RAM,BLS4K8G4D240FSC,Crucial,Ballistix Sport LT,57,79.6,621,https://ram.userbenchmark.com/Crucial-Ballistix-Sport-LT-DDR4-2400-C16-4x8GB/Rating/3637,4x8GB,DDR4,C16,2400
